001  00119 |Loss: 0.641 | Acc: 70.693% 
001  00120 |Loss: 0.641 | Acc: 70.521% 
001  00121 |Loss: 0.641 | Acc: 70.558% 
001  00122 |Loss: 0.638 | Acc: 70.697% 
001  00123 |Loss: 0.642 | Acc: 70.732% 
001  00124 |Loss: 0.642 | Acc: 70.766% 
001  00125 |Loss: 0.642 | Acc: 70.800% 
001  00126 |Loss: 0.643 | Acc: 70.933% 
001  00127 |Loss: 0.645 | Acc: 70.866% 
001  00128 |Loss: 0.645 | Acc: 70.898% 
001  00129 |Loss: 0.646 | Acc: 70.833% 
001  00130 |Loss: 0.648 | Acc: 70.481% 
001  00131 |Loss: 0.648 | Acc: 70.515% 
001  00132 |Loss: 0.649 | Acc: 70.455% 
001  00133 |Loss: 0.647 | Acc: 70.489% 
001  00134 |Loss: 0.648 | Acc: 70.429% 
001  00135 |Loss: 0.648 | Acc: 70.463% 
001  00136 |Loss: 0.651 | Acc: 70.312% 
001  00137 |Loss: 0.650 | Acc: 70.347% 
001  00138 |Loss: 0.647 | Acc: 70.562% 
001  00139 |Loss: 0.647 | Acc: 70.504% 
001  00140 |Loss: 0.650 | Acc: 70.357% 
001  00141 |Loss: 0.652 | Acc: 70.213% 
001  00142 |Loss: 0.653 | Acc: 70.158% 
001  00143 |Loss: 0.651 | Acc: 70.280% 
001  00144 |Loss: 0.649 | Acc: 70.399% 
001  00145 |Loss: 0.649 | Acc: 70.431% 
001  00146 |Loss: 0.650 | Acc: 70.377% 
001  00147 |Loss: 0.651 | Acc: 70.408% 
001  00148 |Loss: 0.649 | Acc: 70.524% 
001  00149 |Loss: 0.648 | Acc: 70.554% 
001  00150 |Loss: 0.649 | Acc: 70.583% 
001  00151 |Loss: 0.648 | Acc: 70.695% 
001  00152 |Loss: 0.648 | Acc: 70.806% 
001  00153 |Loss: 0.648 | Acc: 70.752% 
001  00154 |Loss: 0.647 | Acc: 70.860% 
001  00155 |Loss: 0.646 | Acc: 70.887% 
001  00156 |Loss: 0.644 | Acc: 70.913% 
001  00157 |Loss: 0.645 | Acc: 70.860% 
001  00158 |Loss: 0.645 | Acc: 70.807% 
001  00159 |Loss: 0.645 | Acc: 70.755% 
001  00160 |Loss: 0.645 | Acc: 70.781% 
001  00161 |Loss: 0.645 | Acc: 70.807% 
001  00162 |Loss: 0.646 | Acc: 70.679% 
001  00163 |Loss: 0.647 | Acc: 70.629% 
001  00164 |Loss: 0.647 | Acc: 70.655% 
001  00165 |Loss: 0.646 | Acc: 70.682% 
001  00166 |Loss: 0.646 | Acc: 70.708% 
001  00167 |Loss: 0.645 | Acc: 70.808% 
001  00168 |Loss: 0.645 | Acc: 70.833% 
001  00169 |Loss: 0.644 | Acc: 70.858% 
001  00170 |Loss: 0.644 | Acc: 70.882% 
001  00171 |Loss: 0.643 | Acc: 70.980% 
001  00172 |Loss: 0.646 | Acc: 70.712% 
001  00173 |Loss: 0.646 | Acc: 70.737% 
001  00174 |Loss: 0.645 | Acc: 70.761% 
001  00175 |Loss: 0.644 | Acc: 70.857% 
001  00176 |Loss: 0.643 | Acc: 70.810% 
001  00177 |Loss: 0.642 | Acc: 70.904% 
001  00178 |Loss: 0.644 | Acc: 70.716% 
001  00179 |Loss: 0.644 | Acc: 70.740% 
001  00180 |Loss: 0.643 | Acc: 70.694% 
001  00181 |Loss: 0.642 | Acc: 70.787% 
001  00182 |Loss: 0.642 | Acc: 70.742% 
001  00183 |Loss: 0.643 | Acc: 70.697% 
001  00184 |Loss: 0.642 | Acc: 70.720% 
001  00185 |Loss: 0.641 | Acc: 70.878% 
001  00186 |Loss: 0.642 | Acc: 70.833% 
001  00187 |Loss: 0.641 | Acc: 70.922% 
001  00188 |Loss: 0.641 | Acc: 70.878% 
001  00189 |Loss: 0.641 | Acc: 70.899% 
